ts,load_kw,pv_kw,price_usd_per_kwh
2025-01-01 00:00,8,0,0.18
2025-01-01 01:00,7.5,0,0.18
2025-01-01 02:00,7.2,0,0.18
2025-01-01 03:00,7.0,0,0.18
2025-01-01 04:00,7.3,0,0.18
2025-01-01 05:00,7.8,0,0.20
2025-01-01 06:00,8.4,0.1,0.22
2025-01-01 07:00,9.1,0.3,0.24
2025-01-01 08:00,10.2,1.0,0.26
2025-01-01 09:00,10.8,2.0,0.24
2025-01-01 10:00,11.0,3.0,0.22
2025-01-01 11:00,11.1,3.8,0.20
2025-01-01 12:00,11.0,4.0,0.18
2025-01-01 13:00,10.5,3.6,0.16
2025-01-01 14:00,10.0,3.0,0.16
2025-01-01 15:00,9.8,2.2,0.18
2025-01-01 16:00,9.5,1.2,0.22
2025-01-01 17:00,9.2,0.5,0.26
2025-01-01 18:00,9.6,0.1,0.30
2025-01-01 19:00,9.9,0,0.30
2025-01-01 20:00,9.1,0,0.28
2025-01-01 21:00,8.5,0,0.24
2025-01-01 22:00,8.0,0,0.20
2025-01-01 23:00,7.6,0,0.18
